crn,crn_manual
8158,1
8160,2
8162,3
8159,4
8170,5
8171,6
8172,7
8168,8
8183,9
8185,10
8189,11
8190,12
8191,13
8192,14
8193,15
6902,19
7021,20
7022,21
7023,22
7035,23
6913,24
6914,25
6890,26
6891,27
7392,28
7393,29
7338,30
7339,31
7340,32
7341,33
7342,34
7343,35
7344,36
7345,37
7374,38
6872,39
6873,40
7058,41
7059,42
7046,43
7047,44
7362,45
7363,46
6973,47
6974,48
6975,49
6976,50
17332,51
17506,52
17507,53
17508,54
17509,55
17512,56
17513,57
17514,58
17515,59
17516,60
17517,61
17518,62
17519,63
17520,64
17521,65
17522,66
17523,67
6892,68
6894,68
6896,68
6898,68
6900,68
7006,70
7009,70
7012,70
7015,70
7018,70
7007,71
7010,71
7013,71
7016,71
7019,71
7008,72
7011,72
7014,72
7017,72
7020,72
6881,77
6883,77
6885,77
6887,77
6889,77
7298,80
7306,80
7314,80
7322,80
7330,80
7302,84
7310,84
7318,84
7326,84
7334,84
7305,87
7313,87
7321,87
7329,87
7337,87
7365,89
7367,89
7369,89
7371,89
7373,89
7375,89
7036,94
7038,94
7040,94
7042,94
7044,94
7222,108
7223,109
7224,110
7225,111
7226,112
7227,113
7228,114
7229,115
7132,116
7150,116
7168,116
7186,116
7204,116
7072,118
7096,118
7108,118
7120,118
7136,120
7154,120
7172,120
7190,120
7208,120
7144,136
7162,136
7180,136
7198,136
7216,136
7145,137
7163,137
7181,137
7199,137
7217,137
7146,138
7164,138
7182,138
7200,138
7218,138
7080,142
7092,142
7104,142
7116,142
7128,142
7081,143
7093,143
7105,143
7117,143
7129,143
7846,601
7847,602
7479,603
7480,604
7803,605
7804,606
7981,607
7982,608
7958,609
7963,610
7968,611
7918,613
8014,615
7721,616
7732,617
7758,618
23919,619
7801,620
7802,621
7718,622
7719,623
7720,624
7509,625
7510,626
7531,627
7592,628
7593,629
7639,630
7656,631
7655,632
7657,633
7658,634
22994,1210
7555,1327
7556,1328
7487,1547
7490,1548
7831,1734
7834,1734
7837,1734
7840,1734
7843,1734
7832,1735
